1,1,2500,120,3250000,12.5,2026-06-15 10:00:00,
2,2,4500,280,7500000,18.4,2026-06-15 10:00:00,
3,3,1800,95,2850000,9.8,2026-06-15 10:00:00,
4,4,1500,75,1700000,7.5,2026-06-15 10:00:00,
5,5,5200,340,9800000,22.3,2026-06-15 10:00:00,
6,6,4928,1192,44371008,24.2,2026-06-15 10:00:00,
7,13,5922,1273,57652897,21.5,2026-06-15 10:00:00,
8,15,5244,1148,37871372,21.9,2026-06-15 10:00:00,
9,27,1572,320,20582720,20.4,2026-06-15 10:00:00,
10,31,4644,515,36433675,11.1,2026-06-15 10:00:00,
11,41,2225,478,24705430,21.5,2026-06-15 10:00:00,
