1,1,1,2026-06-15 10:00:00,
2,1,2,2026-06-15 10:00:00,
3,2,3,2026-06-15 10:00:00,
4,2,4,2026-06-15 10:00:00,
5,3,5,2026-06-15 10:00:00,
6,3,6,2026-06-15 10:00:00,
7,4,7,2026-06-15 10:00:00,
8,4,8,2026-06-15 10:00:00,
9,5,9,2026-06-15 10:00:00,
10,5,10,2026-06-15 10:00:00,
11,6,11,2026-06-15 10:00:00,
12,6,12,2026-06-15 10:00:00,
13,7,13,2026-06-15 10:00:00,
14,7,14,2026-06-15 10:00:00,
15,7,15,2026-06-15 10:00:00,
16,8,16,2026-06-15 10:00:00,
17,8,17,2026-06-15 10:00:00,
18,8,18,2026-06-15 10:00:00,
19,9,19,2026-06-15 10:00:00,
20,10,20,2026-06-15 10:00:00,
21,10,21,2026-06-15 10:00:00,
22,11,22,2026-06-15 10:00:00,
23,12,23,2026-06-15 10:00:00,
24,13,24,2026-06-15 10:00:00,
25,13,25,2026-06-15 10:00:00,
26,14,26,2026-06-15 10:00:00,
27,14,27,2026-06-15 10:00:00,
28,15,28,2026-06-15 10:00:00,
29,16,29,2026-06-15 10:00:00,
30,16,30,2026-06-15 10:00:00,
31,17,31,2026-06-15 10:00:00,
32,18,32,2026-06-15 10:00:00,
33,18,33,2026-06-15 10:00:00,
34,18,34,2026-06-15 10:00:00,
35,19,35,2026-06-15 10:00:00,
36,20,36,2026-06-15 10:00:00,
37,20,37,2026-06-15 10:00:00,
38,20,38,2026-06-15 10:00:00,
39,21,39,2026-06-15 10:00:00,
40,22,40,2026-06-15 10:00:00,
41,22,41,2026-06-15 10:00:00,
42,23,42,2026-06-15 10:00:00,
43,23,43,2026-06-15 10:00:00,
44,23,44,2026-06-15 10:00:00,
45,24,45,2026-06-15 10:00:00,
46,24,46,2026-06-15 10:00:00,
47,25,47,2026-06-15 10:00:00,
48,25,48,2026-06-15 10:00:00,
49,25,49,2026-06-15 10:00:00,
50,26,50,2026-06-15 10:00:00,
51,26,51,2026-06-15 10:00:00,
52,26,52,2026-06-15 10:00:00,
53,27,53,2026-06-15 10:00:00,
54,28,54,2026-06-15 10:00:00,
55,29,55,2026-06-15 10:00:00,
56,30,56,2026-06-15 10:00:00,
57,31,57,2026-06-15 10:00:00,
58,31,58,2026-06-15 10:00:00,
59,32,59,2026-06-15 10:00:00,
60,33,60,2026-06-15 10:00:00,
61,34,61,2026-06-15 10:00:00,
62,34,62,2026-06-15 10:00:00,
63,34,63,2026-06-15 10:00:00,
64,35,64,2026-06-15 10:00:00,
65,35,65,2026-06-15 10:00:00,
66,36,66,2026-06-15 10:00:00,
67,36,67,2026-06-15 10:00:00,
68,37,68,2026-06-15 10:00:00,
69,37,69,2026-06-15 10:00:00,
70,37,70,2026-06-15 10:00:00,
71,38,71,2026-06-15 10:00:00,
72,38,72,2026-06-15 10:00:00,
73,38,73,2026-06-15 10:00:00,
74,39,74,2026-06-15 10:00:00,
75,40,75,2026-06-15 10:00:00,
76,40,76,2026-06-15 10:00:00,
77,41,77,2026-06-15 10:00:00,
78,42,78,2026-06-15 10:00:00,
79,42,79,2026-06-15 10:00:00,
80,42,80,2026-06-15 10:00:00,
81,43,81,2026-06-15 10:00:00,
82,44,82,2026-06-15 10:00:00,
83,44,83,2026-06-15 10:00:00,
84,45,84,2026-06-15 10:00:00,
85,46,85,2026-06-15 10:00:00,
86,46,86,2026-06-15 10:00:00,
87,47,87,2026-06-15 10:00:00,
88,48,88,2026-06-15 10:00:00,
89,49,89,2026-06-15 10:00:00,
90,49,90,2026-06-15 10:00:00,
91,50,91,2026-06-15 10:00:00,
92,50,92,2026-06-15 10:00:00,
